图片路径,子图,子图类型,子图数量
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_4.jpg,c,multiple line chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_4.jpg,d,multiple line chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_4.jpg,e,multiple line chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_7.jpg,a,line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_7.jpg,b,line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_7.jpg,c,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_6.jpg,a,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_6.jpg,b,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_6.jpg,c,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_6.jpg,d,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_6.jpg,e,bar chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/66/images/figure_1.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_1.jpg,a,reaction scheme,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_7.jpg,a,scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_7.jpg,b,multi-axis chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_10.jpg,a,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_10.jpg,b,table,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_11.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_6.jpg,a,stacked spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_6.jpg,b,spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_9.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig4.jpg,a,multiple scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig4.jpg,b,multiple scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig4.jpg,c,multiple scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig4.jpg,d,multiple scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_5.jpg,a,scatter plot,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_5.jpg,b,multi-axis chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_5.jpg,c,multi-axis chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_8.jpg,a,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_8.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_3.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_2.jpg,a,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_2.jpg,b,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_2.jpg,c,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/50/images/fig_2.jpg,d,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_3.jpg,a,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_3.jpg,b,scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_2.jpg,a,image panel,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_2.jpg,b,image panel,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_2.jpg,c,stacked spectra chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_2.jpg,d,line chart,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_2.jpg,e,heatmap,5
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,a,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,b,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,c,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,d,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,e,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,f,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,g,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,h,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,i,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,j,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_5.jpg,k,image panel,11
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_4.jpg,a,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_4.jpg,b,multiple line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_4.jpg,c,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_4.jpg,d,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_4.jpg,e,multi spectra chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_4.jpg,f,multiple line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_6.jpg,a,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_6.jpg,b,apparatus diagram,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_1.jpg,a,molecular structure diagram,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_1.jpg,b,line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_1.jpg,c,line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_1.jpg,d,line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_1.jpg,e,line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/57/images/figure_1.jpg,f,line chart,6
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/32/images/figure_3.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/32/images/figure_2.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/32/images/figure_5.jpg,a,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/32/images/figure_5.jpg,b,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/32/images/figure_4.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/32/images/figure_1.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_3.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_2.jpg,a,scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_2.jpg,b,scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_5.jpg,a,multi spectra chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_5.jpg,b,image panel,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_4.jpg,a,multiple scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_4.jpg,b,multiple scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/figure_1.jpg,a,molecular structure diagram,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/35/images/a27ced502d67bd684cbf2f68460176ad15a149ac50a9328ff21b033b7c484cd8.jpg,a,table,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG6_a.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG7.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG2_a.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG8.jpg,a,multi spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG10_a.jpg,a,multiple scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG5.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG9_a.jpg,a,multi spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG1_a.jpg,a,scatter plot,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/69/images/FIG3_a.jpg,a,multi-axis chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_3.jpg,a,multiple line chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_2.jpg,a,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_2.jpg,b,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_2.jpg,c,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_2.jpg,d,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_5.jpg,a,stacked spectra chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_5.jpg,b,stacked spectra chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_5.jpg,c,stacked spectra chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_5.jpg,d,multiple line chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_9.jpg,a,scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_9.jpg,b,scatter plot,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_8.jpg,a,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_8.jpg,b,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_8.jpg,c,scatter plot,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_8.jpg,deposition,multiple line chart,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_4.jpg,a,heatmap,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_4.jpg,b,heatmap,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_4.jpg,c,heatmap,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_4.jpg,deposition,heatmap,4
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/85ead34ddeac10d73af92922cd512497aa52e7e6f3abc2a8b4c0729255402d13.jpg,a,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/85ead34ddeac10d73af92922cd512497aa52e7e6f3abc2a8b4c0729255402d13.jpg,b,multiple line chart,2
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_7.jpg,a,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_7.jpg,b,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_7.jpg,c,stacked spectra chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_6.jpg,a,stacked spectra chart,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/60/images/figure_1.jpg,a,molecular structure diagram,1
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/34/images/figure_3.jpg,a,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/34/images/figure_3.jpg,b,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/34/images/figure_3.jpg,c,multiple line chart,3
/Users/lingzhou/Resource/DataResource/ALD-E-ImageMiner-main/icdar2026-competition-data/train/atomic-layer-deposition/experimental-usecase/34/images/figure_2.jpg,a,spectra chart,1
